gene,ensembl_id,panel,sfari_score,syndromic,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_dExN_detected_cells,CTRL_Young_dExN_detection_percentage,Shift_to_goal_end,direction
PFN2,ENSG00000070087,non_ASD,,,959,79.25619834710744,333,72.86652078774617,954,72.3823975720789,-2.7226929617400216e-05,away_from_VPA
CTNNB1,ENSG00000168036,ASD,1.0,0.0,1046,86.44628099173553,378,82.71334792122538,1102,83.61153262518968,-2.8005444017568027e-05,away_from_VPA
ANP32A,ENSG00000140350,ASD,1.0,0.0,1112,91.900826446281,436,95.40481400437636,1294,98.17905918057664,-3.058084641224386e-05,away_from_VPA
BBX,ENSG00000114439,non_ASD,,,1087,89.83471074380165,413,90.37199124726476,926,70.25796661608497,-3.218143692105522e-05,away_from_VPA
SNRPE,ENSG00000182004,non_ASD,,,1182,97.68595041322314,444,97.15536105032822,1275,96.73748103186648,-3.402775094657377e-05,away_from_VPA
SMYD3,ENSG00000185420,non_ASD,,,1157,95.6198347107438,423,92.5601750547046,1274,96.66160849772383,-3.4200517754805715e-05,away_from_VPA
PTEN,ENSG00000171862,ASD,1.0,1.0,1087,89.83471074380165,384,84.02625820568927,1125,85.3566009104704,-3.649932997567313e-05,away_from_VPA
DGUOK,ENSG00000114956,non_ASD,,,967,79.91735537190083,355,77.68052516411379,1091,82.77693474962064,-3.922363782577284e-05,away_from_VPA
DDX24,ENSG00000089737,non_ASD,,,1082,89.42148760330578,436,95.40481400437638,1281,97.1927162367223,-4.068778190777931e-05,away_from_VPA
KAZN,ENSG00000189337,non_ASD,,,1194,98.67768595041322,396,86.65207877461707,1260,95.59939301972686,-4.167558839512204e-05,away_from_VPA
NEXMIF,ENSG00000050030,ASD,1.0,0.0,879,72.64462809917356,246,53.82932166301969,824,62.51896813353566,-4.289260617008916e-05,away_from_VPA
NIFK,ENSG00000155438,non_ASD,,,802,66.28099173553719,246,53.82932166301969,773,58.649468892261005,-4.503537561291846e-05,away_from_VPA
DPYSL2,ENSG00000092964,ASD,1.0,0.0,1167,96.44628099173552,453,99.12472647702408,1305,99.01365705614568,-4.576894895385212e-05,away_from_VPA
SMARCA4,ENSG00000127616,ASD,1.0,0.0,997,82.39669421487604,418,91.46608315098467,1252,94.99241274658574,-4.655589877998568e-05,away_from_VPA
SRSF10,ENSG00000188529,non_ASD,,,1161,95.9504132231405,434,94.9671772428884,1213,92.03338391502275,-4.697974279779321e-05,away_from_VPA
MIER1,ENSG00000198160,non_ASD,,,811,67.02479338842974,223,48.796498905908095,768,58.2701062215478,-4.958853065243617e-05,away_from_VPA
UPF3B,ENSG00000125351,ASD,1.0,1.0,748,61.81818181818182,300,65.64551422319475,920,69.80273141122913,-4.9806685529203496e-05,away_from_VPA
YWHAQ,ENSG00000134308,non_ASD,,,1192,98.51239669421489,455,99.56236323851203,1316,99.84825493171472,-5.34188553847465e-05,away_from_VPA
ATRX,ENSG00000085224,ASD,1.0,0.0,1174,97.02479338842976,450,98.46827133479212,1314,99.69650986342944,-5.404297695603482e-05,away_from_VPA
RBBP4,ENSG00000162521,non_ASD,,,1080,89.25619834710744,402,87.96498905908096,1177,89.3019726858877,-5.483496159970906e-05,away_from_VPA
BRK1,ENSG00000254999,non_ASD,,,1109,91.65289256198346,423,92.5601750547046,1238,93.93019726858876,-5.510265444531853e-05,away_from_VPA
UQCRQ,ENSG00000164405,non_ASD,,,1113,91.98347107438016,431,94.31072210065643,1274,96.66160849772383,-6.0807455225321776e-05,away_from_VPA
LSM7,ENSG00000130332,non_ASD,,,1111,91.81818181818184,420,91.90371991247264,1184,89.83308042488619,-6.403648162446687e-05,away_from_VPA
SRP9,ENSG00000143742,non_ASD,,,1166,96.36363636363636,440,96.2800875273523,1292,98.02731411229136,-6.450585494930802e-05,away_from_VPA
ZCCHC17,ENSG00000121766,non_ASD,,,956,79.00826446280992,277,60.61269146608315,1016,77.08649468892261,-7.10734827765103e-05,away_from_VPA
SNRPG,ENSG00000143977,non_ASD,,,1118,92.39669421487604,401,87.74617067833698,1157,87.78452200303491,-7.23736803925394e-05,away_from_VPA
PKM,ENSG00000067225,non_ASD,,,1196,98.84297520661156,427,93.43544857768052,1184,89.83308042488619,-7.300720126267188e-05,away_from_VPA
COX7A2,ENSG00000112695,non_ASD,,,1189,98.26446280991736,456,99.78118161925602,1316,99.84825493171472,-7.517775710748166e-05,away_from_VPA
LARS1,ENSG00000133706,non_ASD,,,1003,82.89256198347107,311,68.05251641137856,993,75.34142640364189,-8.188688558619587e-05,away_from_VPA
SEC61G,ENSG00000132432,non_ASD,,,1167,96.44628099173552,446,97.5929978118162,1285,97.49620637329286,-8.19948105171221e-05,away_from_VPA
COX8A,ENSG00000176340,non_ASD,,,1075,88.84297520661157,404,88.40262582056893,1230,93.32321699544764,-9.180159550013504e-05,away_from_VPA
FOXP1,ENSG00000114861,ASD,1.0,1.0,1189,98.26446280991736,339,74.17943107221006,979,74.27921092564492,-9.34378499725542e-05,away_from_VPA
BCL11A,ENSG00000119866,ASD,1.0,1.0,1020,84.29752066115702,448,98.03063457330416,1312,99.54476479514416,-0.0001158430599249,away_from_VPA
ELAVL3,ENSG00000196361,ASD,1.0,0.0,802,66.28099173553719,432,94.52954048140045,1286,97.57207890743553,-0.0001557090065696,away_from_VPA
NRXN3,ENSG00000021645,ASD,1.0,0.0,1079,89.17355371900827,268,58.64332603938731,542,41.12291350531108,-0.000239605950837,away_from_VPA
