gene,ensembl_id,sfari_score,syndromic,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_dExN_detected_cells,CTRL_Young_dExN_detection_percentage
NCKAP1,ENSG00000061676,1,0,1032,85.2892561983471,351,76.80525164113786,1185,89.90895295902884
NCOA1,ENSG00000084676,1,0,1161,95.9504132231405,446,97.59299781181619,1263,95.82701062215477
NEXMIF,ENSG00000050030,1,0,879,72.64462809917356,246,53.82932166301969,824,62.51896813353566
NF1,ENSG00000196712,1,1,1157,95.6198347107438,439,96.06126914660831,1279,97.04097116843703
NIPBL,ENSG00000164190,1,1,1111,91.81818181818181,426,93.21663019693655,1228,93.17147192716237
NLGN2,ENSG00000169992,1,0,319,26.363636363636363,93,20.35010940919037,459,34.825493171471926
NLGN3,ENSG00000196338,1,0,206,17.024793388429753,28,6.12691466083151,270,20.485584218512898
NLGN4X,ENSG00000146938,1,0,871,71.98347107438016,279,61.050328227571114,835,63.3535660091047
NR3C2,ENSG00000151623,1,1,48,3.9669421487603307,1,0.2188183807439825,6,0.4552352048558422
NR4A2,ENSG00000153234,1,0,288,23.801652892561982,93,20.35010940919037,431,32.701062215478
NRXN1,ENSG00000179915,1,0,739,61.074380165289256,416,91.02844638949672,1318,100.0
NRXN2,ENSG00000110076,1,0,387,31.983471074380166,190,41.57549234135667,914,69.3474962063733
NRXN3,ENSG00000021645,1,0,1079,89.17355371900827,268,58.64332603938731,542,41.122913505311075
NSD1,ENSG00000165671,1,1,741,61.239669421487605,263,57.5492341356674,837,63.50531107738998
NUP155,ENSG00000113569,1,0,474,39.17355371900826,109,23.85120350109409,357,27.08649468892261
PACS1,ENSG00000175115,1,1,580,47.93388429752066,131,28.665207877461707,706,53.566009104704094
PAH,ENSG00000171759,1,0,15,1.2396694214876034,15,3.2822757111597376,6,0.4552352048558422
PAX5,ENSG00000196092,1,0,0,0.0,1,0.2188183807439825,0,0.0
PCCB,ENSG00000114054,1,1,603,49.83471074380165,174,38.074398249452955,614,46.585735963581186
PCDH19,ENSG00000165194,1,1,153,12.644628099173554,25,5.470459518599562,234,17.754172989377846
PHF12,ENSG00000109118,1,0,298,24.628099173553718,141,30.85339168490153,465,35.28072837632777
PHF2,ENSG00000197724,1,0,393,32.47933884297521,123,26.914660831509845,485,36.798179059180576
PHF21A,ENSG00000135365,1,1,969,80.08264462809917,363,79.43107221006565,1064,80.72837632776935
PHF3,ENSG00000118482,1,0,973,80.41322314049587,341,74.61706783369803,1062,80.57663125948406
PHIP,ENSG00000146247,1,1,1191,98.4297520661157,436,95.40481400437636,1220,92.56449165402124
POGZ,ENSG00000143442,1,1,1075,88.84297520661157,399,87.30853391684902,1185,89.90895295902884
POMGNT1,ENSG00000085998,1,1,278,22.975206611570247,83,18.161925601750546,304,23.06525037936267
PPP1R9B,ENSG00000108819,1,0,91,7.520661157024794,48,10.50328227571116,291,22.078907435508345
PPP2R5D,ENSG00000112640,1,1,210,17.355371900826448,72,15.75492341356674,320,24.279210925644918
PPP5C,ENSG00000011485,1,0,433,35.78512396694215,129,28.227571115973742,564,42.792109256449166
PRMT9,ENSG00000164169,1,0,324,26.776859504132233,91,19.91247264770241,317,24.051593323216995
PRR12,ENSG00000126464,1,1,420,34.710743801652896,119,26.039387308533918,552,41.88163884673748
PRR14L,ENSG00000183530,1,0,509,42.06611570247934,226,49.45295404814004,740,56.14567526555387
PSMD11,ENSG00000108671,1,0,892,73.71900826446281,294,64.33260393873086,914,69.3474962063733
PSMD12,ENSG00000197170,1,1,779,64.3801652892562,245,53.61050328227571,815,61.8361153262519
