gene,ensembl_id,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_detected_cells,CTRL_Young_detection_percentage
SMCHD1,ENSG00000101596,1002,82.8099173553719,355,77.68052516411379,1056,80.12139605462822
MYL12A,ENSG00000101608,628,51.90082644628099,142,31.072210065645518,400,30.349013657056144
MYL12B,ENSG00000118680,972,80.33057851239668,415,90.80962800875274,1222,92.71623672230652
PTPRM,ENSG00000173482,994,82.14876033057851,178,38.949671772428886,510,38.694992412746586
NDUFV2,ENSG00000178127,1074,88.7603305785124,396,86.65207877461707,1152,87.4051593323217
ANKRD12,ENSG00000101745,1164,96.19834710743802,441,96.49890590809628,1301,98.71016691957512
PPP4R1,ENSG00000154845,610,50.413223140495866,197,43.10722100656455,690,52.35204855842185
VAPA,ENSG00000101558,1100,90.9090909090909,415,90.80962800875274,1248,94.68892261001517
SPIRE1,ENSG00000134278,1163,96.11570247933884,439,96.06126914660832,1312,99.54476479514416
PSMG2,ENSG00000128789,773,63.88429752066116,264,57.76805251641138,806,61.153262518968134
LDLRAD4,ENSG00000168675,698,57.68595041322314,295,64.55142231947484,689,52.27617602427921
RNMT,ENSG00000101654,1005,83.05785123966942,383,83.80743982494529,1109,84.14264036418815
ROCK1,ENSG00000067900,976,80.66115702479338,401,87.74617067833698,1140,86.49468892261002
SNRPD1,ENSG00000167088,1128,93.22314049586777,407,89.05908096280088,1191,90.36418816388468
ABHD3,ENSG00000158201,779,64.3801652892562,82,17.943107221006567,178,13.505311077389983
TTC39C,ENSG00000168234,609,50.3305785123967,217,47.4835886214442,669,50.758725341426405
OSBPL1A,ENSG00000141447,678,56.03305785123966,131,28.665207877461707,651,49.39301972685888
ZNF521,ENSG00000198795,864,71.40495867768595,132,28.88402625820569,145,11.001517450682853
SS18,ENSG00000141380,681,56.28099173553719,167,36.542669584245075,532,40.36418816388468
GAREM1,ENSG00000141441,737,60.909090909090914,151,33.04157549234136,917,69.57511380880122
DTNA,ENSG00000134769,862,71.2396694214876,262,57.330415754923415,1097,83.23216995447648
MAPRE2,ENSG00000166974,767,63.38842975206611,309,67.6148796498906,1095,83.0804248861912
ZNF24,ENSG00000172466,798,65.95041322314049,269,58.86214442013129,867,65.7814871016692
GALNT1,ENSG00000141429,877,72.47933884297521,334,73.08533916849015,959,72.7617602427921
RPRD1A,ENSG00000141425,977,80.74380165289257,332,72.64770240700219,1035,78.52807283763278
SLC39A6,ENSG00000141424,677,55.950413223140494,312,68.27133479212254,1007,76.40364188163885
FHOD3,ENSG00000134775,1153,95.2892561983471,389,85.12035010940919,1190,90.28831562974203
TPGS2,ENSG00000134779,814,67.27272727272727,299,65.42669584245077,983,74.58270106221548
KIAA1328,ENSG00000150477,814,67.27272727272727,273,59.73741794310722,880,66.76783004552352
ATP5F1A,ENSG00000152234,1172,96.8595041322314,446,97.59299781181619,1284,97.42033383915023
HAUS1,ENSG00000152240,703,58.099173553719005,208,45.51422319474836,629,47.72382397572079
PIAS2,ENSG00000078043,681,56.28099173553719,183,40.0437636761488,686,52.04855842185129
HDHD2,ENSG00000167220,646,53.388429752066116,203,44.42013129102845,671,50.910470409711685
IER3IP1,ENSG00000134049,739,61.074380165289256,213,46.608315098468275,681,51.66919575113808
SMAD2,ENSG00000175387,829,68.51239669421487,291,63.67614879649891,978,74.20333839150227
DYM,ENSG00000141627,819,67.68595041322314,280,61.2691466083151,924,70.10622154779969
C18orf32,ENSG00000177576,1056,87.27272727272727,430,94.09190371991247,1269,96.28224582701063
RPL17,ENSG00000265681,1210,100.0,457,100.0,1318,100.0
MAPK4,ENSG00000141639,704,58.18181818181818,140,30.63457330415755,329,24.96206373292868
ME2,ENSG00000082212,676,55.867768595041326,271,59.29978118161926,883,66.99544764795145
MBD2,ENSG00000134046,657,54.29752066115703,269,58.86214442013129,724,54.93171471927162
TXNL1,ENSG00000091164,1067,88.18181818181819,382,83.58862144420132,1156,87.70864946889226
WDR7,ENSG00000091157,658,54.3801652892562,215,47.04595185995623,874,66.31259484066769
NARS1,ENSG00000134440,815,67.35537190082644,255,55.798687089715536,929,70.4855842185129
NEDD4L,ENSG00000049759,1194,98.67768595041322,457,100.0,1300,98.63429438543247
SEC11C,ENSG00000166562,850,70.24793388429752,397,86.87089715536105,1206,91.50227617602428
CDH20,ENSG00000101542,782,64.62809917355372,107,23.413566739606125,365,27.693474962063735
KDSR,ENSG00000119537,622,51.404958677685954,164,35.886214442013134,504,38.23975720789075
DOK6,ENSG00000206052,975,80.57851239669421,302,66.08315098468272,1190,90.28831562974203
ZNF407,ENSG00000215421,689,56.94214876033058,268,58.64332603938731,800,60.69802731411229
ATP9B,ENSG00000166377,938,77.52066115702479,287,62.80087527352297,799,60.62215477996965
TXNL4A,ENSG00000141759,950,78.51239669421489,388,84.9015317286652,1136,86.19119878603946
CDC34,ENSG00000099804,676,55.867768595041326,258,56.455142231947484,540,40.971168437025796
BSG,ENSG00000172270,1069,88.34710743801652,422,92.34135667396062,1148,87.10166919575114
PTBP1,ENSG00000011304,641,52.97520661157024,180,39.38730853391685,390,29.590288315629742
POLR2E,ENSG00000099817,689,56.94214876033058,190,41.57549234135667,633,48.02731411229135
GPX4,ENSG00000167468,1165,96.28099173553719,419,91.68490153172867,1167,88.5432473444613
ATP5F1D,ENSG00000099624,1146,94.7107438016529,413,90.37199124726477,1202,91.19878603945372
MIDN,ENSG00000167470,707,58.429752066115704,313,68.49015317286651,993,75.34142640364189
CIRBP,ENSG00000099622,1198,99.00826446280992,449,98.24945295404814,1293,98.103186646434
NDUFS7,ENSG00000115286,817,67.52066115702479,277,60.61269146608315,996,75.5690440060698
GAMT,ENSG00000130005,605,50.0,104,22.75711159737418,507,38.46737481031867
RPS15,ENSG00000115268,1210,100.0,457,100.0,1318,100.0
UQCR11,ENSG00000127540,1145,94.62809917355372,430,94.09190371991247,1263,95.82701062215479
